date,value
2024-01-01,203.0471707975443
2024-01-02,201.5496469287981
2024-01-03,222.572411246928
2024-01-04,216.5797469193696
2024-01-05,174.86894611150964
2024-01-06,173.46334729126278
2024-01-07,190.88124558508423
2024-01-08,198.38883572838768
2024-01-09,213.33131470254355
2024-01-10,208.08551988261843
2024-01-11,217.51400643149364
2024-01-12,203.70065744364413
2024-01-13,188.68604943257978
2024-01-14,202.41266140822472
2024-01-15,207.7602191744612
2024-01-16,206.4363717394218
2024-01-17,221.8291939082637
2024-01-18,200.65233648556855
2024-01-19,206.223439257401
2024-01-20,189.03739874926282
2024-01-21,190.79691481888878
2024-01-22,197.77515126870148
2024-01-23,228.74772245823453
2024-01-24,218.0827574565826
2024-01-25,207.43726771960732
2024-01-26,195.38966722164162
2024-01-27,196.32416719414593
2024-01-28,197.7564178006992
2024-01-29,210.15990534163478
2024-01-30,222.27002046964628
2024-01-31,242.47507610820438
2024-02-01,209.07767030229238
2024-02-02,195.20025965601258
2024-02-03,184.26512780220003
2024-02-04,201.6533354161937
2024-02-05,218.7033422580234
2024-02-06,218.19254693856266
2024-02-07,214.0161154789519
2024-02-08,206.24465892878644
2024-02-09,208.1645406941491
2024-02-10,201.15930616417452
2024-02-11,202.23668854378863
2024-02-12,202.0575376767694
2024-02-13,222.9397800842338
2024-02-14,224.8575365775862
2024-02-15,217.9359350597091
2024-02-16,211.61878921245673
2024-02-17,197.19465405945687
2024-02-18,204.81200013502792
2024-02-19,210.591671840213
2024-02-20,224.69788249889376
2024-02-21,231.17710953370195
2024-02-22,202.33582311237382
2024-02-23,200.85066571877914
2024-02-24,191.38215808412758
2024-02-25,192.74535170133174
2024-02-26,208.25957866586205
2024-02-27,237.83485551748564
2024-02-28,217.2680882218734
2024-02-29,227.63554442749302
2024-03-01,188.24706142999761
2024-03-02,193.748216540227
2024-03-03,201.7554483426159
2024-03-04,217.84942678721274
2024-03-05,230.95613998291785
2024-03-06,234.80035295025687
2024-03-07,215.38786608525703
2024-03-08,201.35630248305762
2024-03-09,206.56242829794658
2024-03-10,199.0818599763429
2024-03-11,200.07855567779995
2024-03-12,213.34029995651628
2024-03-13,218.48259629184255
2024-03-14,224.637767251927
2024-03-15,208.17579471238307
2024-03-16,205.63978911352535
2024-03-17,197.45507295775755
2024-03-18,215.13382888044015
2024-03-19,231.6222985358437
2024-03-20,225.2569841303416
2024-03-21,224.88725476005465
2024-03-22,200.76554294756062
2024-03-23,195.71750072453202
2024-03-24,198.50308485266703
2024-03-25,202.16258877202722
2024-03-26,230.78829569189872
2024-03-27,224.18816561580076
2024-03-28,220.95569248481382
2024-03-29,212.68297956696736
2024-03-30,243.09803872556355
2024-03-31,209.42383008963313
2024-04-01,213.5650006614128
2024-04-02,222.09378977454094
2024-04-03,228.47252342914237
