date,value
2024-01-01,90.45707561963165
2024-01-02,89.70368680557532
2024-01-03,92.47553261807334
2024-01-04,91.37861455282194
2024-01-05,85.00567973878414
2024-01-06,84.59687491534287
2024-01-07,86.82809763981487
2024-01-08,87.42563611148464
2024-01-09,89.13846122867962
2024-01-10,87.97028993300329
2024-01-11,83.9409500131973
2024-01-12,86.99892042490832
2024-01-13,90.069770071358
2024-01-14,86.22719884551599
2024-01-15,86.50126401337806
2024-01-16,85.7747242706112
2024-01-17,87.70298200048741
2024-01-18,84.32944357699162
2024-01-19,85.0499079737258
2024-01-20,82.27525530915696
2024-01-21,82.15904348974605
2024-01-22,82.6786056833941
2024-01-23,86.79747497294711
2024-01-24,84.81806160126044
2024-01-25,83.02527574499047
2024-01-26,81.10403219603255
2024-01-27,81.04860795396637
2024-01-28,80.88450313161006
2024-01-29,82.21909891739398
2024-01-30,83.50989446944787
2024-01-31,86.16232722566934
2024-02-01,80.9581449536582
2024-02-02,78.7638684281576
2024-02-03,76.92948508326452
2024-02-04,79.16030616892718
2024-02-05,81.19345843908134
2024-02-06,80.59274177845374
2024-02-07,79.58962110891987
2024-02-08,74.03125219912927
2024-02-09,78.40812170350193
2024-02-10,77.16502543244151
2024-02-11,76.95106843752174
2024-02-12,76.40173543906697
2024-02-13,79.01190494953613
2024-02-14,78.92488453807474
