date,value
2024-01-01,203.0471707975443
2024-01-02,214.06518218254897
2024-01-03,238.77225235419968
2024-01-04,225.45137768090927
2024-01-05,171.51090636399186
2024-01-06,162.77567277898873
2024-01-07,183.8750285097909
2024-01-08,203.89388233568172
2024-01-09,231.346203101828
2024-01-10,229.77760046785338
2024-01-11,231.86934490266503
2024-01-12,205.81637806135268
2024-01-13,183.46077530863226
2024-01-14,200.85607547346353
2024-01-15,218.70072218222424
2024-01-16,229.8711405013771
2024-01-17,248.92418212983648
2024-01-18,220.3922182007126
2024-01-19,213.70395249500416
2024-01-20,189.15578623394632
2024-01-21,194.5614853473157
2024-01-22,214.01293811966497
2024-01-23,257.4545420331503
2024-01-24,250.42321051748297
2024-01-25,232.39468322427075
2024-01-26,208.0584463880274
2024-01-27,201.60022459677768
2024-01-28,206.64674313999444
2024-01-29,231.4902222443344
2024-01-30,256.0348455168548
2024-01-31,279.8377204580212
2024-02-01,239.0201839065562
2024-02-02,212.81577570321457
2024-02-03,194.44830418909723
2024-02-04,215.40991688901013
2024-02-05,244.85781958128152
2024-02-06,256.738216287947
2024-02-07,256.1150804250786
2024-02-08,240.87777501129148
2024-02-09,230.42376021804768
2024-02-10,215.93812002091693
2024-02-11,220.53968869779666
2024-02-12,232.70807667539495
2024-02-13,265.93003078743885
2024-02-14,271.3484944741198
2024-02-15,256.90736316909476
2024-02-16,238.16156320464597
2024-02-17,216.20120439447908
2024-02-18,227.28587486332506
2024-02-19,245.3551964215095
2024-02-20,271.7422198358081
2024-02-21,281.662262586786
2024-02-22,245.24058009580585
2024-02-23,231.2649455084777
2024-02-24,214.19745264053185
2024-02-25,218.96428914745374
2024-02-26,246.70358337837757
2024-02-27,288.49420842699107
2024-02-28,271.30192968891464
2024-02-29,274.0218196935156
2024-03-01,185.87302210467465
2024-03-02,219.90823994874796
2024-03-03,231.24953581994066
2024-03-04,259.4982406816926
2024-03-05,284.74922001181375
2024-03-06,291.8961192951052
2024-03-07,264.76356505593236
2024-03-08,238.10035238216074
2024-03-09,235.56486228762893
2024-03-10,231.3438895880406
2024-03-11,244.42023132251674
2024-03-12,269.75057163165917
2024-03-13,278.1193168510952
2024-03-14,276.4776382371938
2024-03-15,208.2545151213761
2024-03-16,236.95128745309793
2024-03-17,231.9478873533105
2024-03-18,261.627556759132
2024-03-19,290.10546020946384
2024-03-20,286.88702619233544
2024-03-21,278.64049603768655
2024-03-22,241.7295206407587
2024-03-23,228.78141353344503
2024-03-24,234.66735673432947
2024-03-25,250.24652968369793
2024-03-26,290.78016251700893
2024-03-27,287.2451656389305
2024-03-28,276.05392941467113
2024-03-29,254.9097997388899
2024-03-30,238.52791719824347
2024-03-31,246.68616280031557
2024-04-01,262.6644226874414
2024-04-02,283.01846464340963
2024-04-03,292.3795895337855
2024-04-04,260.1897435281894
2024-04-05,236.6618002180222
2024-04-06,221.76269900207097
2024-04-07,230.88346738863058
2024-04-08,268.3672450085289
2024-04-09,
2024-04-10,289.9088971460902
2024-04-11,290.46610756846707
2024-04-12,247.8781968019666
2024-04-13,
2024-04-14,231.62270928020712
2024-04-15,262.31600222742367
2024-04-16,278.2672614307686
2024-04-17,290.0978777632857
2024-04-18,285.5735380498065
2024-04-19,233.76361109744198
2024-04-20,
2024-04-21,242.73223484711127
2024-04-22,257.72559736625084
2024-04-23,272.50486775076587
2024-04-24,293.30926115901883
2024-04-25,270.8776574971105
2024-04-26,252.26868170665358
2024-04-27,233.71799373589977
2024-04-28,255.08565735369604
2024-04-29,231.27693749164868
2024-04-30,275.25411236932933
2024-05-01,292.81079655526594
2024-05-02,276.70983395243127
2024-05-03,261.7790890083626
2024-05-04,240.0047194982778
2024-05-05,240.70041181917858
2024-05-06,274.892495774508
2024-05-07,271.4873630220584
2024-05-08,282.4188592530747
2024-05-09,262.9558323988315
2024-05-10,241.9152180992458
2024-05-11,215.42823979933135
2024-05-12,240.94113451580918
2024-05-13,255.41265624865804
2024-05-14,265.9609268833633
2024-05-15,275.87427139930395
2024-05-16,
2024-05-17,251.25108128429778
2024-05-18,246.142076656907
2024-05-19,
2024-05-20,258.60861380982266
2024-05-21,267.53009208361897
2024-05-22,261.3942005783663
2024-05-23,268.64723134618345
2024-05-24,231.28513752815206
2024-05-25,218.49798338622213
2024-05-26,221.7828918969755
2024-05-27,249.4015891714351
2024-05-28,284.36642809333557
2024-05-29,280.5038866833379
2024-05-30,260.5415207455124
2024-05-31,225.15622581087453
2024-06-01,201.94486917646697
2024-06-02,219.02433370734113
2024-06-03,246.20013495613094
2024-06-04,287.26081241355234
2024-06-05,276.0589901785372
2024-06-06,267.72761144325386
2024-06-07,226.24321957543324
2024-06-08,202.51831440862077
2024-06-09,209.86653008986252
2024-06-10,235.07181997878743
2024-06-11,286.4097828576061
2024-06-12,262.0450319632954
2024-06-13,261.74848524733795
2024-06-14,217.63265691378936
2024-06-15,219.07327589738367
2024-06-16,218.72271657722055
2024-06-17,236.08061145110725
2024-06-18,260.0094654131398
2024-06-19,258.9738261634973
2024-06-20,253.05963133235608
2024-06-21,217.32164240263438
2024-06-22,192.68699732973278
2024-06-23,197.25703645628906
2024-06-24,234.51551297005835
2024-06-25,271.3318327674421
2024-06-26,262.22838859524916
2024-06-27,242.50399390860875
2024-06-28,219.8076681902149
2024-06-29,213.06923094031217
2024-06-30,207.28639545160792
